date,brot_eur,bier_eur,cola_eur,milch_eur,eier_eur,kaese_eur,schwein_eur,rind_eur,huehnchen_eur
1996-03-31,1.9003927729772194,0.6522492712518709,0.7520972831524668,0.6302376338476162,1.1728920127058198,5.716760891808694,4.08971723459861,8.300675706071099,3.883758790533521
1996-06-30,1.903912018853103,0.6517135428976599,0.7539444316170245,0.6305004518767436,1.1733811253049462,5.719144862155571,4.102395720268313,8.326408535983632,3.8957987867840678
1996-09-30,1.9083110761979578,0.6535885921373984,0.7530208573847457,0.6307632699058711,1.173870237904073,5.721528832502447,4.154920875185656,8.433015974192694,3.9456787712506185
1996-12-31,1.9118303220738417,0.6549279130229259,0.7517894250750405,0.631814542022381,1.1758266883005797,5.731064713889951,4.176655422048005,8.47712939689989,3.9663187648229847
1997-03-31,1.9179890023566382,0.6557315055542424,0.7517894250750405,0.6328658141388906,1.1777831386970865,5.740600595277454,4.178466634286535,8.480805515458824,3.9680387642873485
1997-06-30,1.91974862529458,0.6578744189710863,0.7514815669976143,0.6302376338476162,1.1728920127058198,5.716760891808694,4.241859062635051,8.609469665021486,4.028238745540083
1997-09-30,1.9250274941084058,0.6586780115024028,0.7520972831524668,0.6297119977893614,1.1719137875075665,5.711992951114944,4.303440278745039,8.734457696025213,4.086718727328453
1997-12-31,1.9267871170463475,0.6584101473252972,0.7542522896944509,0.6310260879349986,1.1743593505031995,5.7239128028493225,4.307062703222097,8.74180993314308,4.09015872625718
1998-03-31,1.931186174391202,0.6573386906168753,0.7545601477718772,0.6328658141388906,1.1777831386970865,5.740600595277454,4.294384217552394,8.716077103230548,4.078118730006634
1998-06-30,1.932945797329144,0.6594816040337191,0.7582544447009929,0.6318145420223809,1.1758266883005797,5.73106471388995,4.278083307405631,8.68299203620015,4.06263873482736
1998-09-30,1.9355852317360567,0.6618923816276686,0.7594858770106981,0.6291863617311065,1.170935562309313,5.70722501042119,4.2563487605432835,8.63887861349295,4.041998741254994
1998-12-31,1.9391044776119406,0.6626959741589852,0.7597937350881244,0.6283979076437242,1.1694682245119328,5.700073099380563,4.203823605625941,8.532271175283888,3.9921187567884417
1999-03-31,1.9364650432050279,0.6613566532734576,0.7588701608558456,0.6273466355272143,1.167511774115426,5.690537217993058,4.169410573093889,8.462424922664159,3.9594387669655298
1999-06-30,1.9373448546739989,0.6621602458047742,0.7567151543138614,0.6239300011485575,1.1611533103267788,5.659545603483669,4.140431177277423,8.403607025721229,3.9319187755357086
1999-09-30,1.932945797329144,0.6626959741589852,0.7554837220041563,0.6197249126825183,1.1533275087407515,5.621402077933653,4.1331863283233075,8.388902551485495,3.925038777678253
1999-12-31,1.932065985860173,0.6616245174505632,0.7557915800815825,0.6170967323912439,1.1484363827494848,5.597562374464894,4.1241302671306626,8.37052195869083,3.9164387803564344
2000-03-31,1.9347054202670855,0.6608209249192466,0.7570230123912877,0.6149941881582243,1.144523481956471,5.578490611689886,4.118696630415075,8.35949360301403,3.911278781963342
2000-06-30,1.932945797329144,0.6597494682108247,0.7554837220041563,0.6134172799834596,1.141588806361711,5.5641867896086294,4.1295639038462495,8.381550314367628,3.9215987787495252
2000-09-30,1.932945797329144,0.6616245174505632,0.7570230123912877,0.6110519177213126,1.1371867929695707,5.542731056486745,4.149487238470069,8.421987618515894,3.9405187728575277
2000-12-31,1.9417439120188533,0.6651067517529345,0.761333025475256,0.6149941881582243,1.144523481956471,5.578490611689886,4.180277846525064,8.48448163401776,3.969758763751713
2001-03-31,1.9610997643362138,0.6677853935239894,0.7656430385592242,0.6226159110029202,1.1587077473311453,5.647625751749291,4.314307552176213,8.756514407378813,4.097038724114636
2001-06-30,1.9822152395915165,0.6683211218782003,0.7699530516431926,0.6399619009253317,1.1909891788735074,5.804967794643107,4.502673624983235,9.138830737507861,4.275918668408473
2001-09-30,2.0015710919088767,0.6680532577010948,0.7727237743400294,0.6562566187312333,1.2213141600193627,5.952773956149421,4.529841808561172,9.19397251589186,4.301718660373932
2001-12-31,2.018287509819325,0.6691247144095169,0.7724159162626031,0.6620386153720371,1.23207463720015,6.005221303780693,4.513540898414409,9.16088744886146,4.286238665194657
2002-03-31,2.04204241948154,0.6718033561805719,0.7748787808820135,0.6641411596050567,1.2359875379931635,6.024293066555701,4.491806351552061,9.116774026154262,4.265598671622291
2002-06-30,2.0446818538884526,0.6734105412432049,0.775494497036866,0.6612501612846549,1.2306072994027697,5.998069392740065,4.466449380212654,9.0653083663292,4.241518679121197
2002-09-30,2.0482010997643365,0.6846608366816355,0.7773416455014238,0.6549425285855962,1.218868597023729,5.940854104415041,4.4429036211117765,9.017518825063068,4.2191586860844685
2002-12-31,2.0517203456402204,0.6884109351611123,0.7767259293465713,0.6525771663234492,1.2144665836315889,5.9193983712931555,4.426602710965015,8.984433758032669,4.203678690905193
2003-03-31,2.057879025923017,0.6918931694634837,0.775494497036866,0.6510002581486845,1.2115319080368285,5.9050945492119,4.408490588579724,8.947672572443338,4.186478696261555
2003-06-30,2.0622780832678713,0.694303947057433,0.7742630647271609,0.6531028023817042,1.2154448088298422,5.924166311986909,4.39581210291002,8.921939742530805,4.174438700011009
2003-09-30,2.0657973291437552,0.6983219097140155,0.7767259293465713,0.6528399843525765,1.2149556962307155,5.921782341640032,4.392189678432962,8.91458750541294,4.17099870108228
2003-12-31,2.068436763550668,0.7010005514850705,0.779496652043408,0.657833526905998,1.2242488356141228,5.967077778230677,4.399434527387079,8.92929197964867,4.177878698939736
2004-03-31,2.0710761979575807,0.6999290947766483,0.7828830908950973,0.6565194367603607,1.2218032726184893,5.9551579264962955,4.386756041717375,8.90355914973614,4.1658387026891885
2004-06-30,2.0701963864886097,0.7050185141416527,0.7834988070499501,0.6515258942069394,1.2125101332350818,5.9098624899056516,4.3776999805247305,8.885178556941474,4.157238705367369
2004-09-30,2.0745954438334646,0.7066256992042858,0.7822673747402448,0.6491605319447923,1.2081081198429418,5.888406756783767,4.3813224050017885,8.89253079405934,4.160678704296097
2004-12-31,2.076355066771406,0.7093043409753407,0.7810359424305395,0.6475836237700275,1.2051734442481814,5.874102934702511,4.406679376341195,8.943996453884404,4.184758696797191
2005-03-31,2.072835820895523,0.7079650200898131,0.7813438005079658,0.6454810795370082,1.2012605434551682,5.855031171927504,4.412113013056783,8.955024809561204,4.189918695190283
2005-06-30,2.069316575019639,0.712250846923501,0.7819595166628185,0.6423272631874787,1.1953911922656475,5.826423527764992,4.412113013056783,8.955024809561204,4.189918695190283
2005-09-30,2.0701963864886097,0.713322303631923,0.7831909489725236,0.6412759910709689,1.193434741869141,5.816887646377488,4.408490588579724,8.947672572443338,4.186478696261555
2005-12-31,2.074595443833464,0.7101079335066571,0.784422381282229,0.6431157172748609,1.1968585300630274,5.83357543880562,4.413924225295312,8.958700928120138,4.191638694654646
2006-03-31,2.0789945011783195,0.7109115260379735,0.7902716847533288,0.6423272631874787,1.1953911922656477,5.826423527764992,4.422980286487957,8.977081520914803,4.200238691976465
2006-06-30,2.0842733699921445,0.7130544394548175,0.7973524205341338,0.6433785353039884,1.197347642662154,5.835959409152497,4.43565877215766,9.002814350827336,4.212278688227013
2006-09-30,2.092191673212883,0.714929488694556,0.8068960209343494,0.6418016271292238,1.1944129670673942,5.82165558707124,4.470071804689712,9.072660603447064,4.244958678049925
2006-12-31,2.110667714061273,0.7213582289450877,0.8127453244054492,0.6423272631874787,1.1953911922656477,5.826423527764992,4.5044848372217645,9.142506856066795,4.2776386678728375
2007-03-31,2.12650432050275,0.7232332781848262,0.8182867697991227,0.641275991070969,1.193434741869141,5.816887646377488,4.517163322891467,9.168239685979328,4.289678664123385
2007-06-30,2.1379418695993717,0.7245725990703535,0.8238282151927961,0.6444298074204982,1.199304093058661,5.84549529054,4.535275445276759,9.205000871568659,4.3068786587670225
2007-09-30,2.147619795758052,0.7256440557787754,0.8315246671284537,0.6657180677798215,1.2389222135879236,6.038596888636957,4.558821204377636,9.252790412834791,4.3292386518037524
2007-12-31,2.217124901806756,0.7256440557787754,0.8447625644577851,0.7435122044015454,1.3836995429294259,6.744252111312259,4.602290298102333,9.341017258249188,4.370518638948485
2008-03-31,2.289269442262373,0.730197746789569,0.8653890556453475,0.7747875498677116,1.4419039422255029,7.0279445825905045,4.640325755111443,9.418215747986784,4.406638627700125
2008-06-30,2.3200628436763555,0.7371622153943117,0.8715462171938738,0.7619094664404668,1.4179374248682945,6.91113003559358,4.669305150927908,9.477033644929714,4.4341586191299465
2008-09-30,2.3315003927729774,0.742787363113527,0.8684676364196106,0.7579671960035551,1.4106007358813943,6.8753704803904405,4.752620913900245,9.64613509864064,4.513278594490682
2008-12-31,2.3464571877454836,0.7476089183014257,0.8613869006388056,0.7358904815568496,1.3695152775547517,6.675116971252854,4.835936676872581,9.815236552351566,4.592398569851418
2009-03-31,2.3411783189316577,0.7521626093122192,0.8576926037096899,0.7180188555761832,1.3362556208141363,6.513006987665285,4.83774788911111,9.818912670910498,4.594118569315782
2009-06-30,2.3420581304006287,0.7529662018435356,0.8561533133225584,0.704352318061556,1.310821765659548,6.389040529627732,4.828691827918465,9.800532078115834,4.585518571993963
2009-09-30,2.340298507462687,0.7513590167809027,0.8567690294774111,0.6914742346343111,1.2868552483023399,6.272225982630805,4.8232581912028785,9.789503722439035,4.580358573600871
2009-12-31,2.3332600157109193,0.7508232884266918,0.8530747325482952,0.6946280509838404,1.2927245994918601,6.300833626793319,4.8178245544872915,9.778475366762235,4.5751985752077795
2010-03-31,2.3279811468970935,0.7545733869061686,0.8466097129223429,0.6993587755081346,1.3015286262761407,6.3437450930370884,4.8232581912028785,9.789503722439035,4.580358573600871
2010-06-30,2.327981146897094,0.7537697943748521,0.8459939967674902,0.7022497738285364,1.3069088648665346,6.3699687668527245,4.835936676872581,9.815236552351566,4.592398569851419
2010-09-30,2.3297407698350354,0.7551091152603795,0.8524590163934427,0.7075061344110853,1.3166911168490685,6.417648173790243,4.852237587019343,9.848321619381965,4.607878565030693
