period,coal_usd_mt,natgas_eur_usd_mmbtu,beef_usd_kg,chicken_usd_kg,aluminum_usd_mt,ironore_usd_mt,copper_usd_mt
2023M04,194.28,13.52052961513,5.30431572,1.570852,2343.23,117.39,8809.42
2023M05,160.48,10.10875599841,5.310378425,1.542912,2268.6,105.15,8217.47
2023M06,139.42,10.35062473915,5.01330588,1.467504,2184.75,113.45,8396.52
2023M07,140.63,9.54528398968,4.7840254,1.372038,2159.73,114.43,8476.68
2023M08,152.61,11.19194456369,4.726154125,1.424562,2136.57,110.2,8349.13
2023M09,162.47,11.54929514615,4.90307488,1.53748,2184.67,120.98,8276.71
2023M10,142.12,14.56950705657,4.979685425,1.58395,2192.21,118.97,7937.18
2023M11,126.82,14.48505487638,4.8832333,1.667497,2202.26,131.07,8189.59
2023M12,141.82,11.50665790666,4.79137413333,1.6336,2182.43,137.05,8399.94
2024M01,124.9,9.55961355312,4.996384,1.56618,2192.82,135.82,8338.88
2024M02,124.22,8.14838086764,5.375565,1.51528,2179.46,124.39,8304.95
2024M03,131.49,8.55372632183,5.729792,1.528088,2226.16,109.79,8689.13
2024M04,134.97,9.08511900567,6.05028,1.439838,2506.1,112.75,9464.43
2024M05,142.01,10.12306554509,5.87630925,1.514766,2564.54,118.88,10139.33
2024M06,135.1,10.86897789978,5.8516948,1.400868,2497.61,107.45,9648.17
2024M07,137.55,10.34681932853,6.1882875,1.33496,2349.13,106.85,9385.31
2024M08,145.76,12.37459819711,6.3351728,1.383168,2343.67,99.91,8971.96
2024M09,139.2,11.7842591911,6.2960425,1.453025,2449.92,92.83,9237.48
2024M10,146.63,12.92013302544,6.059766,1.480128,2595.58,101.39,9533.99
2024M11,142.12,13.92640045783,6.183042,1.519686,2582.19,100.5,9075.73
2024M12,129.81,13.85662099801,6.2332505,1.417642,2541.02,102.21,8916.32
