Date,Close
2025-08-04,29568.77
2025-08-04,29947.03
2025-08-04,29950.28
2025-08-04,29945.39
2025-08-04,29932.47
2025-08-04,29936.28
2025-08-04,29965.67
2025-08-04,29946.04
2025-08-04,29948.21
2025-08-04,29932.39
2025-08-04,29938.59
2025-08-04,29950.76
2025-08-04,29957.58
2025-08-04,29970.8
2025-08-04,29946.56
2025-08-04,29966.99
2025-08-04,29971.94
2025-08-04,29975.41
2025-08-04,29964.05
2025-08-04,29961.9
2025-08-04,29962.0
2025-08-04,29941.08
2025-08-04,29945.74
2025-08-04,29943.8
2025-08-04,29923.77
2025-08-04,29939.33
2025-08-04,29946.79
2025-08-04,29957.69
2025-08-04,29944.82
2025-08-04,29972.59
2025-08-04,29964.87
2025-08-04,29950.22
2025-08-04,29956.63
2025-08-04,29912.11
2025-08-04,29904.76
2025-08-04,29913.87
2025-08-04,29914.1
2025-08-04,29911.84
2025-08-04,29914.03
2025-08-04,29907.33
2025-08-04,29898.39
2025-08-04,29904.91
2025-08-04,29909.63
2025-08-04,29905.53
2025-08-04,29904.75
2025-08-04,29909.97
2025-08-04,29942.82
2025-08-04,29901.81
2025-08-04,29900.17
2025-08-04,29899.14
2025-08-04,29902.3
2025-08-04,29902.44
2025-08-04,29930.16
2025-08-04,29943.67
2025-08-04,29959.0
2025-08-04,29968.48
2025-08-04,29979.82
2025-08-04,29976.86
2025-08-04,29967.46
2025-08-04,29961.92
2025-08-04,29971.9
2025-08-04,29906.01
2025-08-04,29908.88
2025-08-04,29948.16
2025-08-04,29944.6
2025-08-04,29967.54
2025-08-04,29982.88
2025-08-04,29988.11
2025-08-04,29994.29
2025-08-04,30008.82
2025-08-04,29996.5
2025-08-04,30007.37
2025-08-04,29988.29
2025-08-04,29987.76
2025-08-04,29980.0
2025-08-04,29978.1
2025-08-04,29978.36
2025-08-04,29978.13
2025-08-04,29963.78
2025-08-04,29983.38
2025-08-04,29978.57
2025-08-04,29988.28
2025-08-04,29997.97
2025-08-04,30001.89
2025-08-04,30007.87
2025-08-04,30018.31
2025-08-04,30012.19
2025-08-04,30012.19
2025-08-04,30012.19
2025-08-04,30012.19
2025-08-04,30012.19
2025-08-04,30012.19
2025-08-04,30040.13
2025-08-04,29988.33
2025-08-04,29944.34
2025-08-04,29966.85
2025-08-04,29966.21
2025-08-04,29963.19
2025-08-04,29950.16
2025-08-04,29943.57
2025-08-04,29951.61
2025-08-04,29954.69
2025-08-04,29946.59
2025-08-04,29948.68
2025-08-04,29952.82
2025-08-04,29940.98
2025-08-04,29933.71
2025-08-04,29935.59
2025-08-04,29929.51
2025-08-04,29950.46
2025-08-04,29966.65
2025-08-04,29950.75
2025-08-04,29961.99
2025-08-04,29955.26
2025-08-04,29945.29
2025-08-04,29942.23
2025-08-04,29925.89
2025-08-04,29941.1
2025-08-04,29972.58
2025-08-04,29973.53
2025-08-04,29979.85
2025-08-04,29963.08
2025-08-04,29965.54
2025-08-04,29956.05
2025-08-04,29961.85
2025-08-04,29964.78
2025-08-04,29906.3
2025-08-04,29947.16
2025-08-04,29897.88
2025-08-04,29790.31
2025-08-04,29804.74
2025-08-04,29809.58
2025-08-04,29794.61
2025-08-04,29815.01
2025-08-04,29833.0
2025-08-04,29829.26
2025-08-04,29822.48
2025-08-04,29819.64
2025-08-04,29857.35
2025-08-04,29854.78
2025-08-04,29858.55
2025-08-04,29869.58
2025-08-04,29776.67
2025-08-04,29883.35
2025-08-04,29894.44
2025-08-04,29906.26
2025-08-04,29914.53
2025-08-04,29924.51
2025-08-04,29938.58
2025-08-04,29943.08
2025-08-04,29944.14
2025-08-04,29937.82
2025-08-04,29937.25
2025-08-04,29928.21
2025-08-04,29932.63
2025-08-04,29921.45
2025-08-04,29911.32
2025-08-04,29893.55
2025-08-04,29772.57
2025-08-04,29752.44
2025-08-04,29775.43
2025-08-04,29904.94
2025-08-04,29598.2
2025-08-04,29600.07
2025-08-04,29644.38
2025-08-04,29625.7
2025-08-04,29657.17
2025-08-04,29625.37
2025-08-04,29631.51
2025-08-04,29642.28
2025-08-04,29616.6
2025-08-04,29633.67
2025-08-04,29647.68
2025-08-04,29626.39
2025-08-04,29665.94
2025-08-04,29696.87
2025-08-04,29725.21
2025-08-04,29739.4
2025-08-04,29698.32
2025-08-04,29701.53
2025-08-04,29727.83
2025-08-04,29757.77
2025-08-04,29776.05
2025-08-04,29782.92
2025-08-04,29777.72
2025-08-04,29776.88
2025-08-04,29801.12
2025-08-04,29780.54
2025-08-04,29765.91
2025-08-04,29754.73
2025-08-04,29938.96
2025-08-04,29943.96
2025-08-04,29593.55
2025-08-04,29863.32
2025-08-04,29883.69
2025-08-04,29878.02
